Title,Price,Original Price,Discount (%),Rating,Reviews,Brand,Timestamp
"Honeywell 4-in-1 Type C 3.1 to USB 3.0 with RJ45 Gigabit Ethernet Adapter, 5GBPS Transfer Speed, 3x3.0 USB Ports, 1Gbps Bandwidth, Universally Compatible with Type C MacBooks, laptops, PCs, Tablets",1598.0,3999.0,60.04,4.2,65.0,Honeywell,2024-12-13 13:47:51
"Boult Just Launched Partybox X80 with Dynamic RGB LED Panel, 80W Bluetooth Speaker, Karaoke Mic Input, 5H Playtime Portable Speaker, Bass & Treble Control, USB &AUX Compatibility with Type-C Charging",6999.0,19999.0,65.0,4.8,6.0,Boult,2024-12-13 13:47:51
"(Renewed) pTron Boom Ultima 4D Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)",254.0,298.0,14.77,3.6,336.0,(Renewed),2024-12-13 13:47:51
Foxin BASS PRO+ T2 Metallic in-Ear Wired Earphones (Black White),360.0,900.0,60.0,4.1,6.0,Foxin,2024-12-13 13:47:51
"Promate Powerpack-Fold 5 in 1 Magsafe Power Bank, 10000mah 15W Foldable Wireless Powerbank - iPhone 15/15+/15 Pro/15 Pro Max, 14/14+/14 Pro/Max, Apple Watch, Air Pods, 18W USB QC 3.0 Port, 20W USB-C",5999.0,9999.0,40.0,3.6,126.0,Promate,2024-12-13 13:47:51
"pTron Fusion Bold 100W Karaoke Bluetooth Party Speaker with Punchy Sound, Vibrant RGB Lights, 3m Wired Microphone, Playback via BT/USB/SD Card/Aux, Mini Remote Control & Type-C Charging (Royal Black)",3998.0,13799.0,71.03,3.2,55.0,pTron,2024-12-13 13:47:51
"Promate 1.2 Mtr 27W USB C to Lightning Cable with Transparent Shells, iPhone Type C PD 480Mbps Data Sync Nylon Braided Fast Charging for iPhone 14 13 12 11 Pro Max X XS XR 8 7 6s Plus - 2 Yrs Warranty",233.0,999.0,76.68,3.8,19.0,Promate,2024-12-13 13:47:51
Jabra Elite Active 75t Truly Wireless Bluetooth in Ear Earbuds with Mic (Navy Blue),12622.0,17999.0,29.87,4.0,288.0,Jabra,2024-12-13 13:47:51
"Johra Yison Series CX300 Magnetic Deep Bass Hi-Fi Stereo Sound in-Ear Earphone with Mic for Smartphones, iPhones, Featured Phone, Tablet, PSP, Laptop, Computer, PC (Black)",499.0,999.0,50.05,3.4,6.0,Johra,2024-12-13 13:47:51
Anker Zolo Ak-Z2010011 Bluetooth Truly Wireless in Ear Earbuds with Mic (Black),3509.0,6149.0,42.93,3.6,936.0,Anker,2024-12-13 13:47:51
"Meizu Flow 3-Driver Hybrid Earphones (Silver),in-Ear,Wired",5791.0,6999.0,17.26,3.7,14.0,Meizu,2024-12-13 13:47:51
"Meizu Flow 3-Driver Hybrid Earphones (Black),in-Ear,Wired",6394.0,6999.0,8.64,2.8,9.0,Meizu,2024-12-13 13:47:51
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:47:54
Spigen Ultra Hybrid Pro Full Cover Folio Case Compatible with Galaxy Tab S9 11inch [S Pen Storage] [Kick Stand] - Gray,2589.0,4599.0,43.71,4.1,99.0,Spigen,2024-12-13 13:47:54
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:47:54
"COSTAR 36W Gan USB C Charger Fast Charing Qc Pd Dual Port USB A + Type C,Power Adapter Plug Wall Charger for iPhone,Samsung,Realme,Xiaomi Vivio Oppo and Android Devices Short Circuit Protection,White",799.0,2999.0,73.36,3.6,291.0,COSTAR,2024-12-13 13:47:54
Spigen Ultra Hybrid Pro Full Cover Folio Case Compatible with Galaxy Tab S9 11inch [S Pen Storage] [Kick Stand] - Gray,2589.0,4599.0,43.71,4.1,99.0,Spigen,2024-12-13 13:47:57
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:47:57
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:47:57
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:47:57
"Honeywell 4-in-1 Type C 3.1 to USB 3.0 with RJ45 Gigabit Ethernet Adapter, 5GBPS Transfer Speed, 3x3.0 USB Ports, 1Gbps Bandwidth, Universally Compatible with Type C MacBooks, laptops, PCs, Tablets",1598.0,3999.0,60.04,4.2,65.0,Honeywell,2024-12-13 13:48:00
Ars tech A4 39 Holes Spiral Binder Machine (White/Green),2599.0,6499.0,60.01,4.0,779.0,Ars,2024-12-13 13:48:00
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:03
Spigen Ultra Hybrid Pro Full Cover Folio Case Compatible with Galaxy Tab S9 11inch [S Pen Storage] [Kick Stand] - Gray,2589.0,4599.0,43.71,4.1,99.0,Spigen,2024-12-13 13:48:03
HIFFIN HF-999 Professional Portable Magnesium Aluminum Alloy Tripod Monopod with Detachable Ball Head and Pocket for Digital Camera and Camcorder (Black) (Professional Tripod with Monopod),8999.0,10999.0,18.18,4.0,274.0,HIFFIN,2024-12-13 13:48:03
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:03
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:03
OneAssist 1 Year Baggage Loss and Theft Protection Plan Between INR 2001-3000(E-Mail Delivery Only),199.0,398.0,50.0,5.0,1.0,OneAssist,2024-12-13 13:48:06
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:06
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:06
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:06
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:09
HIFFIN HF-999 Professional Portable Magnesium Aluminum Alloy Tripod Monopod with Detachable Ball Head and Pocket for Digital Camera and Camcorder (Black) (Professional Tripod with Monopod),8999.0,10999.0,18.18,4.0,274.0,HIFFIN,2024-12-13 13:48:09
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:09
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:09
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:12
HIFFIN HF-999 Professional Portable Magnesium Aluminum Alloy Tripod Monopod with Detachable Ball Head and Pocket for Digital Camera and Camcorder (Black) (Professional Tripod with Monopod),8999.0,10999.0,18.18,4.0,274.0,HIFFIN,2024-12-13 13:48:12
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:12
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:12
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:15
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:15
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:15
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:15
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:18
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:18
HIFFIN HF-999 Professional Portable Magnesium Aluminum Alloy Tripod Monopod with Detachable Ball Head and Pocket for Digital Camera and Camcorder (Black) (Professional Tripod with Monopod),8999.0,10999.0,18.18,4.0,274.0,HIFFIN,2024-12-13 13:48:18
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:18
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:18
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:21
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:21
"Auklet USB C Hub Docking Station, 6-in-1 Aluminium USB C Hub,4K HDMI@30HZ,100 W Power Delivery,SD/TF Card Reader, Compatibile with iOS, Windows and Linux",1299.0,3499.0,62.88,4.3,32.0,Auklet,2024-12-13 13:48:21
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:24
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:24
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:24
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:24
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:24
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:27
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:27
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:27
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:27
Spigen Ultra Hybrid Pro Full Cover Folio Case Compatible with Galaxy Tab S9 11inch [S Pen Storage] [Kick Stand] - Gray,2589.0,4599.0,43.71,4.1,99.0,Spigen,2024-12-13 13:48:30
"HIFFIN® HF-550 Professional Aluminum Tripod & Monopod with 152CM Max Height | Swivel Ball Head, 4-Section Adjustment, 7kg Load Support | Perfect for DSLR & Video Camcorders",6399.0,9999.0,36.0,4.0,274.0,HIFFIN®,2024-12-13 13:48:30
"pTron Fusion Quad V2 40W Bluetooth Karaoke Party Speaker–Ignite Your Party with Vivid RGB Lights, 3m Mic, Mic Volume Control, 5 Equalizer Settings, BT/USB/SD Playback & Type-C Charging! (Satin Black)",1998.0,5999.0,66.69,4.1,169.0,pTron,2024-12-13 13:48:30
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:33
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:33
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:33
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:33
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:33
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:36
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:36
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:36
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:36
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:36
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:39
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:39
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:39
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:39
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:39
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:41
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:41
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:41
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:41
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:44
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:44
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:44
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:44
"Auklet USB C Hub Docking Station, 6-in-1 Aluminium USB C Hub,4K HDMI@30HZ,100 W Power Delivery,SD/TF Card Reader, Compatibile with iOS, Windows and Linux",1299.0,3499.0,62.88,4.3,32.0,Auklet,2024-12-13 13:48:47
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:47
